user_id,run_id,date,distance_km,duration_seconds,notes,created_at
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,5dfc1ba1-1ded-4df7-8e48-65b3796fc14d,2025-01-01,6.96,2780,Tempo,2025-06-14T23:05:41.193666
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,faa829f8-726e-4e78-96b6-d6c19fbf4a36,2025-01-02,7.41,2985,Tempo,2025-06-14T23:05:41.193782
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,23e392a6-7728-4cd8-9b3e-fa54cec8b42c,2025-01-03,6.07,2298,Interval,2025-06-14T23:05:41.193812
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,eb7ea4e5-252f-4009-ab47-8d261bdb5f84,2025-01-04,14.85,6750,Long,2025-06-14T23:05:41.193832
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,f40f0619-7f51-470e-abb9-697748f4337e,2025-01-06,6.78,2836,Tempo,2025-06-14T23:05:41.193853
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,e54cd99a-880c-4c4a-8612-1b230ca91998,2025-01-08,7.43,3446,Recovery,2025-06-14T23:05:41.193872
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,800c1b46-be46-4135-bb66-8946d0c1cdd5,2025-01-09,6.91,2668,Interval,2025-06-14T23:05:41.193887
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,ab280eae-08fb-4e8d-9a2d-57054700ed75,2025-01-17,4.78,1864,Tempo,2025-06-14T23:05:41.193918
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,a44c0f15-070a-47cf-b783-44d3b980aff3,2025-01-18,4.29,1989,Recovery,2025-06-14T23:05:41.193935
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,259030d5-d0c5-44e0-b10d-ced77fda2137,2025-01-20,6.22,2468,Interval,2025-06-14T23:05:41.193951
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,8e5245a0-def0-4f70-8acf-ae8d585ad358,2025-01-23,6.38,2517,Tempo,2025-06-14T23:05:41.193973
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,eb368669-4810-4b26-9628-0b104590b10b,2025-01-24,3.33,1383,Tempo,2025-06-14T23:05:41.193988
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,ab1a0ccf-20e5-4d72-b0fd-659432b666ff,2025-01-25,12.95,5985,Long,2025-06-14T23:05:41.194001
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,32d4d021-cc48-497c-8bdf-d5d63429586f,2025-01-28,5.39,2140,Interval,2025-06-14T23:05:41.194018
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,3f2c655e-a3ee-4815-8ca0-73266ae5a2ad,2025-01-30,7.34,3341,Recovery,2025-06-14T23:05:41.194033
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,a526037d-58d2-45c2-9cba-e558c47c6171,2025-01-31,6.62,2520,Interval,2025-06-14T23:05:41.194051
540894c8-b0f1-7079-e1b3-4c93e1f7ed5e,f3f2f1a3-9d10-4dc7-885d-f6bda8e1cf9d,2025-02-01,14.33,6260,Long,2025-06-14T23:05:41.194064
